"key","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"home.about.body","Welcome to Kotobuki town, a quaint community currently being gobbled up acre by acre by dastardly big-city landsharks. It’s also your new home. Do you have what it takes to bring the locals together and save their beloved sushi bar?

Inspired by slice-of-life anime, Sushi Ben is a sweet, funny and bombastic narrative adventure about finding your feet in a new town (and sticking it to landlords while you’re at it). 

Featuring a gorgeous seaside setting, eye-popping 3D manga panels, a fully voiced cast of colorful characters, and plenty of minigames – fishing, archery, dog walking, and even ghost hunting...!?  

With narrative talents of Hato Moa (Hatoful Boyfriend) and voice acting by Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) and many more!","Willkommen in Kotobuki Town, einer malerischen Gemeinde, die gerade Stück für Stück von durchtriebenen Großstadt-Haien aufgekauft wird. Es ist auch dein neues Zuhause. Hast du das Zeug dazu, die Einheimischen zusammenzubringen und ihre geliebte Sushibar zu retten?

Inspiriert von Slice-of-Life-Anime ist Sushi Ben ein süßes, witziges und bombastisches Erzählabenteuer darüber, in einer neuen Stadt Fuß zu fassen (und es nebenbei den Vermietern zu zeigen). 

Mit einem wunderschönen Küsten-Schauplatz, auffälligen 3D-Manga-Panels, einer vollständig vertonten Riege bunter Figuren und vielen Minispielen – Angeln, Bogenschießen, Gassigehen und sogar Geisterjagd...!?  

Mit der erzählerischen Handschrift von Hato Moa (Hatoful Boyfriend) und Sprecher*innen wie Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) und vielen mehr!","Bienvenido a Kotobuki Town, una pintoresca comunidad que los despiadados tiburones inmobiliarios de la gran ciudad están devorando parcela por parcela. También es tu nuevo hogar. ¿Tienes lo necesario para unir a la gente del lugar y salvar su querido bar de sushi?

Inspirado en los anime slice‑of‑life, Sushi Ben es una aventura narrativa dulce, divertida y explosiva sobre encontrar tu lugar en una ciudad nueva (y de paso darle su merecido a los caseros). 

Con un precioso entorno costero, llamativos paneles de manga en 3D, un reparto de personajes colorido con doblaje completo y montones de minijuegos: pesca, tiro con arco, paseos con perros e incluso caza de fantasmas...!?  

Con la pluma de Hato Moa (Hatoful Boyfriend) y las voces de Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) y muchos más.","Bienvenue à Kotobuki Town, une charmante bourgade que des requins immobiliers de la grande ville dévorent parcelle après parcelle. C’est aussi ta nouvelle maison. Saura-tu rassembler les habitant·e·s pour sauver leur bar à sushis adoré ?

Inspiré par les anime slice‑of‑life, Sushi Ben est une aventure narrative douce, drôle et explosive sur le fait de trouver sa place dans une nouvelle ville (et de donner une leçon aux propriétaires au passage). 

Avec un magnifique décor en bord de mer, des planches de manga 3D éclatantes, un casting haut en couleur entièrement doublé et plein de mini-jeux – pêche, tir à l’arc, promenade de chiens et même chasse aux fantômes...!?  

Scénario de Hato Moa (Hatoful Boyfriend) et doublage par Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) et bien d’autres !","Benvenuto a Kotobuki Town, una pittoresca comunità che i famelici squali d’affari della grande città stanno divorando ettaro dopo ettaro. È anche la tua nuova casa. Hai quello che serve per unire i locali e salvare il loro amato sushi bar?

Ispirato agli anime slice‑of‑life, Sushi Ben è una dolce, spassosa e roboante avventura narrativa su come ambientarsi in una nuova città (e dare una lezione ai proprietari mentre ci sei). 

Con una splendida ambientazione sul mare, appariscenti pannelli manga 3D, un cast di personaggi variopinti completamente doppiato e tanti minigiochi – pesca, tiro con l’arco, passeggiate con i cani e persino caccia ai fantasmi...!?  

Narrazione di Hato Moa (Hatoful Boyfriend) e doppiaggio di Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) e molti altri!","Bem‑vindo a Kotobuki Town, uma cidadezinha charmosa que está sendo engolida, quarteirão por quarteirão, por verdadeiros tubarões do mercado. Também é o seu novo lar. Você consegue unir os moradores e salvar o sushi bar queridinho da cidade?

Inspirado em animes slice‑of‑life, Sushi Ben é uma aventura narrativa doce, divertida e explosiva sobre encontrar seu lugar em uma cidade nova (e dar um chega pra lá nos proprietários no processo). 

Com um belíssimo cenário litorâneo, painéis de mangá 3D de encher os olhos, elenco supercolorido com dublagem completa e vários minigames — pesca, arco e flecha, passeio com cachorros e até caça a fantasmas...!?  

Roteiro de Hato Moa (Hatoful Boyfriend) e vozes de Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) e muito mais!","コトブキ町へようこそ。のどかなこの町は、強欲な都会の地上げ屋たちに一筆ずつ食い荒らされています。ここはあなたの新しい故郷でもあります。町の人々を力を合わせて、愛される寿司屋を救えるでしょうか？

日常系アニメに着想を得たSushi Benは、新しい町で居場所を見つけていく——そしてついでに大家にも一泡吹かせる——甘くて愉快でド派手なナラティブアドベンチャーです。 

美しい海辺のロケーション、目を奪う3Dマンガパネル、個性豊かなキャラクターのフルボイス、そして釣り・アーチェリー・犬の散歩・果てはゴーストハントまで——ミニゲームも盛りだくさん！  

Hato Moa（Hatoful Boyfriend）による脚本、Laura Post（Little Witch Academia）、Ryan Colt Levy（Chainsaw Man）、AJ Beckles（Dandadan）ほか豪華声優陣が参加！","코토부키 타운에 오신 것을 환영합니다. 이 아담한 마을은 교활한 대도시 지주들에게 한 평, 한 평씩 잠식되고 있습니다. 이곳은 이제 당신의 새로운 보금자리이기도 하죠. 마을 사람들을 하나로 모아 그들이 사랑하는 스시 바를 구할 수 있을까요?

일상물 애니메이션에서 영감을 받은 Sushi Ben은 새로운 도시에 적응해 가는 이야기이자 (그리고 그 와중에 집주인들에게 한 방 먹이는) 달콤하고 유쾌하며 박진감 넘치는 내러티브 어드벤처입니다. 

아름다운 해변 배경, 시선을 사로잡는 3D 만화 패널, 다채로운 캐릭터의 풀 보이스 연기, 그리고 풍성한 미니게임 – 낚시, 양궁, 강아지 산책, 심지어 유령 사냥까지...!?  

Hato Moa (Hatoful Boyfriend])의 스토리와 Laura Post (Little Witch Academia), Ryan Colt Levy (Chainsaw Man), AJ Beckles (Dandadan) 등 많은 성우들의 열연이 함께합니다!","欢迎来到寿木町（Kotobuki Town）——这座恬静的小镇正被城里的地产“鲨鱼”一口一口吞下。这里也是你的新家。你能号召镇民一起，拯救他们心爱的寿司店吗？

受日常向动画启发，Sushi Ben是一段温馨、搞笑又夸张的叙事冒险，讲述在新城镇站稳脚跟的故事（顺便也要给房东点颜色看看）。 

海边美景、夺目的3D漫画分镜、色彩鲜明的全程配音角色，以及丰富的小游戏——钓鱼、射箭、遛狗，甚至还有捉鬼……!?  

由Hato Moa（Hatoful Boyfriend）担任剧情，Laura Post（Little Witch Academia）、Ryan Colt Levy（Chainsaw Man）、AJ Beckles（Dandadan）等众多声优献声！","歡迎來到壽木町（Kotobuki Town）——這座恬靜小鎮正被城裡的地產「鯊魚」一口口吞下。這裡也是你的新家。你能號召鎮民一起，拯救他們最愛的壽司店嗎？

靈感源自日常向動畫，Sushi Ben是一段溫馨、逗趣且張力十足的敘事冒險，描繪在新城鎮落腳的歷程（順便讓房東吃點苦頭）。 

海濱美景、耀眼的 3D 漫畫分鏡、色彩鮮明的全程配音角色，以及豐富的迷你遊戲——釣魚、射箭、溜狗，甚至還有捉鬼……!?  

由Hato Moa（Hatoful Boyfriend）擔綱劇情，Laura Post（Little Witch Academia）、Ryan Colt Levy（Chainsaw Man）、AJ Beckles（Dandadan）等眾多聲優獻聲！"
"home.about.title","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town","Welcome to Kotobuki Town"
"home.buy.subtitle","","","","","","","","","",""
"home.buy.title","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!","Play Sushi Ben on your favorite platform!"
"home.contact.subtitle","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below.","For press, business, or support inquiries, send a message below."
"home.contact.title","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact"
"home.support.discord.title","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord","Need help fast? Join our Discord"
"home.support.discord.body","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time."
"home.support.discord.cta","Join Discord","Join Discord","Join Discord","Join Discord","Join Discord","Join Discord","Join Discord","Join Discord","Join Discord","Join Discord"
"home.support.email.title","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message","Prefer email? Send us a message"
"home.support.email.body","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible.","Use the form and we will route your message to the right team member as quickly as possible."
"home.cta.buy","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben"
"home.cta.watch","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer"
"home.feature.comfort.body","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace.","Designed for approachable VR sessions with clear interactions and a welcoming pace."
"home.feature.comfort.title","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play","Comfortable, Accessible Play"
"home.feature.manga.body","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","Step into stylized scenes that blend comic aesthetics with immersive VR interaction."
"home.feature.manga.title","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation","Manga-Inspired Presentation"
"home.feature.story.body","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for."
"home.feature.story.title","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure","Story-Driven Adventure"
"home.feature.voice.body","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life.","Enjoy performances that bring each character and their personal stakes to life."
"home.feature.voice.title","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters","Voice-Acted Characters"
"home.features.title","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights","Highlights"
"home.form.email","Email","Email","Email","Email","Email","Email","Email","Email","Email","Email"
"home.form.category","Category","Category","Category","Category","Category","Category","Category","Category","Category","Category"
"home.form.category.placeholder","Select a category","Select a category","Select a category","Select a category","Select a category","Select a category","Select a category","Select a category","Select a category","Select a category"
"home.form.category.general","General Inquiry","General Inquiry","General Inquiry","General Inquiry","General Inquiry","General Inquiry","General Inquiry","General Inquiry","General Inquiry","General Inquiry"
"home.form.category.press","Press Request","Press Request","Press Request","Press Request","Press Request","Press Request","Press Request","Press Request","Press Request","Press Request"
"home.form.category.tech","Technical Support","Technical Support","Technical Support","Technical Support","Technical Support","Technical Support","Technical Support","Technical Support","Technical Support","Technical Support"
"home.form.message","Message","Message","Message","Message","Message","Message","Message","Message","Message","Message"
"home.form.name","Name","Name","Name","Name","Name","Name","Name","Name","Name","Name"
"home.form.submit","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message","Send Message"
"home.hero.lede","An interactive anime story! Save a beloved local sushi bar from dastardly landsharks, get distracted in countless mini games and make unforgettable friends in this larger-than-life narrative adventure. Written by Moa (Hatoful Boyfriend) and featuring a fully voiced cast!","Eine interaktive Anime-Geschichte! Rette eine geliebte lokale Sushibar vor schurkischen &quot;Landsharks&quot;, verliere dich in unzähligen Minispielen und finde unvergessliche Freundschaften in diesem übergroßen Erzählabenteuer. Geschrieben von Moa (Hatoful Boyfriend) und mit kompletter Sprachausgabe!","¡Una historia de anime interactiva! Salva un querido bar de sushi de unos malvados especuladores, piérdete en incontables minijuegos y haz amistades inolvidables en esta aventura narrativa a lo grande. Escrito por Moa (Hatoful Boyfriend) y con doblaje completo.","Une histoire d’anime interactive ! Sauve un bar à sushis adoré des redoutables promoteurs, perds-toi dans d’innombrables mini-jeux et fais-toi des ami·e·s inoubliables dans cette aventure narrative plus grande que nature. Écrit par Moa (Hatoful Boyfriend) et intégralement doublé !","Una storia anime interattiva! Salva un amato sushi bar locale da perfidi &quot;landshark&quot;, perditi in innumerevoli minigiochi e stringi amicizie indimenticabili in questa avventura narrativa fuori scala. Scritto da Moa (Hatoful Boyfriend) e con doppiaggio completo!","Uma história de anime interativa! Salve um sushi bar queridinho dos impiedosos &quot;tubarões&quot; do mercado, mergulhe em inúmeros minigames e faça amizades inesquecíveis nesta grande aventura narrativa. Roteiro de Moa (Hatoful Boyfriend) e dublagem completa!","インタラクティブなアニメ物語！ 悪徳地上げ屋から愛される寿司屋を守り、数え切れないミニゲームに寄り道し、忘れられない友だちに出会う——スケール大のナラティブアドベンチャー。Moa（Hatoful Boyfriend）脚本、フルボイス対応！","인터랙티브 애니메이션 스토리! 교활한 지주들로부터 사랑받는 스시 바를 지켜내고, 수많은 미니게임에 빠져들며, 잊지 못할 친구들을 만나는 초대형 내러티브 어드벤처. Moa(하토풀 보이프렌드) 각본, 풀 보이스 수록!","一段互动式动画剧情！从奸商手里守护备受喜爱的小镇寿司店，在无数小游戏中流连忘返，并在这场“超大号”的叙事冒险里结识一生难忘的朋友。由 Moa（Hatoful Boyfriend）执笔，全程配音！","一段互動式動畫故事！從奸商手中守護小鎮最受喜愛的壽司店，在無數迷你遊戲中流連忘返，並在這場「超規格」的敘事冒險裡結識一生難忘的朋友。由 Moa（Hatoful Boyfriend）執筆，完整配音！"
"home.hero.title","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks","Save a Sushi Bar from greedy landsharks"
"home.kicker","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure","Narrative VR Adventure"
"home.media.title","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer","Watch the Trailer"
"home.translation_note","","","","","","","","","",""
"lang.aria_label","Language","Language","Language","Language","Language","Language","Language","Language","Language","Language"
"lang.summary","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}","Language: {language}"
"legal.back_home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home","Back to Home"
"legal.eula.description","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben.","End User License Agreement for Sushi Ben."
"legal.eula.title","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA"
"legal.privacy.description","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben.","Privacy Policy for Sushi Ben."
"legal.privacy.title","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy"
"nav.about","About","About","About","About","About","About","About","About","About","About"
"nav.buy","Play","Play","Play","Play","Play","Play","Play","Play","Play","Play"
"nav.contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact","Contact"
"nav.features","Features","Features","Features","Features","Features","Features","Features","Features","Features","Features"
"nav.menu","Menu","Menü","Menú","Menu","Menu","Menu","メニュー","메뉴","菜单","選單"
"nav.media","Media","Media","Media","Media","Media","Media","Media","Media","Media","Media"
"site.description","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar.","Sushi Ben is a narrative VR adventure set in Kotobuki Town. Explore, meet locals, and help save a beloved sushi bar."
"site.title","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure","Sushi Ben | A Cozy, Anime-Inspired Adventure"
"locale.name.zh-hans","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）","中文（简体）"
"locale.name.zh-hant","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）","中文（繁體）"
"home.highlights.item1","An interactive anime story!","Eine interaktive Anime-Geschichte!","¡Una historia de anime interactiva!","Une histoire d’anime interactive !","Una storia anime interattiva!","História de anime interativa!","インタラクティブなアニメ物語！","인터랙티브 애니메이션 스토리!","互动式动画剧情！","互動式動畫故事！"
"home.highlights.item2","Pop out manga panels bring the tale to life!","Herausplatzende Manga-Panels erwecken die Story zum Leben!","¡Paneles de manga emergentes que dan vida al relato!","Des planches de manga jaillissent pour donner vie au récit !","Pannelli manga che saltano fuori e danno vita al racconto!","Painéis de mangá saltam da tela e dão vida à trama!","飛び出すマンガパネルで物語が動き出す！","튀어나오는 만화 패널로 이야기가 살아납니다!","弹出的漫画面板让故事跃然纸上！","彈出的漫畫分鏡讓故事躍然眼前！"
"home.highlights.item3","Colorful cast of small town characters!","Bunter Cast aus Kleinstadt-Charakteren!","¡Reparto colorido de personajes de pueblo!","Galerie de personnages hauts en couleur !","Cast variopinto di personaggi di provincia!","Elenco coloridíssimo de personagens de cidade pequena!","小さな町の多彩なキャスト！","개성만점 소도시 캐릭터들!","小镇群像，角色鲜活！","小鎮群像，角色鮮活！"
"home.highlights.item4","Wholesome and over-the-top!","Herzlich und überdreht!","¡Tierno y desenfrenado!","Chaleureux et déjanté !","Dolce e sopra le righe!","Aconchegante e exagerado!","ほのぼのでド派手！","잔잔함과 오버액션의 절묘한 조화!","治愈又夸张！","療癒又浮誇！"
"home.highlights.item5","8+ hours of story quests!","8+ Stunden Story-Quests!","¡Más de 8 horas de misiones de historia!","Plus de 8 h de quêtes de l’histoire !","Oltre 8 ore di missioni della storia!","Mais de 8h de missões de história!","8時間以上のストーリークエスト！","8시간 이상 스토리 퀘스트!","8+小时主线任务！","8+ 小時主線任務！"
"home.highlights.item6","4+ hours of mini-games - fishing, archery, ghost hunting and more!","4+ Stunden Minispiele – Angeln, Bogenschießen, Geisterjagd und mehr!","¡Más de 4 horas de minijuegos: pesca, tiro con arco, caza de fantasmas y más!","Plus de 4 h de mini-jeux – pêche, tir à l’arc, chasse aux fantômes et plus encore !","Oltre 4 ore di minigiochi – pesca, tiro con l’arco, caccia ai fantasmi e altro!","Mais de 4h de minigames — pesca, arco e flecha, caça a fantasmas e muito mais!","4時間以上のミニゲーム——釣り、アーチェリー、ゴーストハントなど！","4시간 이상 미니게임 – 낚시, 양궁, 유령 사냥 등!","4+小时小游戏——钓鱼、射箭、捉鬼等！","4+ 小時迷你遊戲——釣魚、射箭、捉鬼等！"
"home.highlights.item7","Available in flatscreen and VR!","Spielbar in Flatscreen und VR!","¡Disponible en pantalla plana y VR!","Disponible en écran plat et en VR !","Disponibile in flat-screen e VR!","Disponível em tela comum e VR!","フラットスクリーンとVRの両対応！","플랫스크린과 VR 모두 지원!","支持平面屏幕与VR玩法！","同時支援平面螢幕與VR！"
"home.highlights.item8","Full voice acting from a stacked 20+ cast!","Vollständige Sprachausgabe mit 20+ Sprecher*innen!","Doblaje completo con más de 20 actores.","Doublage intégral par plus de 20 comédien·ne·s !","Doppiaggio completo con più di 20 interpreti!","Dublagem completa com mais de 20 vozes!","20名以上によるフルボイス！","20명 이상이 참여한 풀 보이스!","20+位演员全程配音！","20+ 位演員全程配音！"
"home.highlights.item9","Narrative by the creator of Hatoful Boyfriend!","Story vom/der Schöpfer*in von Hatoful Boyfriend!","Guion de la creadora de Hatoful Boyfriend.","Scénario par la créatrice de Hatoful Boyfriend !","Storia dalla creatrice di Hatoful Boyfriend!","Roteiro da criadora de Hatoful Boyfriend!","Hatoful Boyfriendの作者による物語！","Hatoful Boyfriend 작가가 집필한 서사!","出自Hatoful Boyfriend作者之手的剧情！","出自Hatoful Boyfriend作者之手的劇情！"
"nav.team","Team","Team","Team","Team","Team","Team","Team","Team","Team","Team"
