"key","context","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"home.cta.watch","Button label | Homepage CTA","Watch Trailer","","","","","","","","",""
"home.feature.comfort.body","Body text | Homepage feature card","Designed for approachable VR sessions with clear interactions and a welcoming pace.","","","","","","","","",""
"home.feature.comfort.title","Heading | Homepage feature card","Comfortable, Accessible Play","","","","","","","","",""
"home.feature.manga.body","Body text | Homepage feature card","Step into stylized scenes that blend comic aesthetics with immersive VR interaction.","","","","","","","","",""
"home.feature.manga.title","Heading | Homepage feature card","Manga-Inspired Presentation","","","","","","","","",""
"home.feature.story.body","Body text | Homepage feature card","Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","","","","","","","","",""
"home.feature.story.title","Heading | Homepage feature card","Story-Driven Adventure","","","","","","","","",""
"home.feature.voice.body","Body text | Homepage feature card","Enjoy performances that bring each character and their personal stakes to life.","","","","","","","","",""
"home.feature.voice.title","Heading | Homepage feature card","Voice-Acted Characters","","","","","","","","",""
"home.features.title","Heading | Homepage highlights section","Highlights","","","","","","","","",""
"home.final_cta.body","Body text | Homepage final CTA section","Ready to save the sushi bar? Jump in now or watch the trailer first.","","","","","","","","",""
"home.final_cta.title","Heading | Homepage final CTA section","Ready to save the sushi bar? Jump in now!","","","","","","","","",""
"home.form.category","Field label | Homepage contact form","Category","","","","","","","","",""
"home.form.category.general","Option label | Homepage contact form category field","General Inquiry","Allgemeine Anfrage","Consulta general","Demande générale","Richiesta generale","Consulta geral","一般的な問い合わせ","일반 문의","一般咨询","一般諮詢"
"home.form.category.placeholder","Placeholder | Homepage contact form category field","Select a category","Kategorie auswählen","Seleccionar categoría","Sélectionner une catégorie","Seleziona categoria","Selecionar categoria","カテゴリを選択","카테고리 선택","选择类别","選擇類別"
"home.form.category.press","Option label | Homepage contact form category field","Press Request","Presseanfrage","Solicitud de prensa","Demande presse","Richiesta stampa","Solicitação de imprensa","プレス問い合わせ","언론 문의","媒体请求","媒體請求"
"home.form.category.tech","Option label | Homepage contact form category field","Technical Support","Technischer Support","Soporte técnico","Support technique","Supporto tecnico","Suporte técnico","テクニカルサポート","기술 지원","技术支持","技術支援"
"home.form.email","Field label | Homepage contact form","Email","","","","","","","","",""
"home.form.message","Field label | Homepage contact form","Message","","","","","","","","",""
"home.form.name","Field label | Homepage contact form","Name","","","","","","","","",""
"home.form.submit","Button label | Homepage contact form submit button","Send Message","Nachricht senden","Enviar mensaje","Envoyer un message","Invia messaggio","Enviar mensagem","メッセージを送信","메시지 보내기","发送消息","傳送訊息"
"home.hero.title","Heading | Homepage hero","Save a Sushi Bar from greedy landsharks","","","","","","","","",""
"home.hero.lede","Body text | Homepage hero","An interactive anime story! Save a beloved local sushi bar from dastardly landsharks, get distracted in countless mini games and make unforgettable friends in this larger-than-life narrative adventure. Written by Moa (Hatoful Boyfriend) and featuring a fully voiced cast!","Eine interaktive Anime-Geschichte! Rette eine geliebte lokale Sushibar vor schurkischen &quot;Landsharks&quot;, verliere dich in unzähligen Minispielen und finde unvergessliche Freundschaften in diesem übergroßen Erzählabenteuer. Geschrieben von Moa (Hatoful Boyfriend) und mit kompletter Sprachausgabe!","¡Una historia de anime interactiva! Salva un querido bar de sushi de unos malvados especuladores, piérdete en incontables minijuegos y haz amistades inolvidables en esta aventura narrativa a lo grande. Escrito por Moa (Hatoful Boyfriend) y con doblaje completo.","Une histoire d’anime interactive ! Sauve un bar à sushis adoré des redoutables promoteurs, perds-toi dans d’innombrables mini-jeux et fais-toi des ami·e·s inoubliables dans cette aventure narrative plus grande que nature. Écrit par Moa (Hatoful Boyfriend) et intégralement doublé !","Una storia anime interattiva! Salva un amato sushi bar locale da perfidi &quot;landshark&quot;, perditi in innumerevoli minigiochi e stringi amicizie indimenticabili in questa avventura narrativa fuori scala. Scritto da Moa (Hatoful Boyfriend) e con doppiaggio completo!","Uma história de anime interativa! Salve um sushi bar queridinho dos impiedosos &quot;tubarões&quot; do mercado, mergulhe em inúmeros minigames e faça amizades inesquecíveis nesta grande aventura narrativa. Roteiro de Moa (Hatoful Boyfriend) e dublagem completa!","インタラクティブなアニメ物語！ 悪徳地上げ屋から愛される寿司屋を守り、数え切れないミニゲームに寄り道し、忘れられない友だちに出会う——スケール大のナラティブアドベンチャー。Moa（Hatoful Boyfriend）脚本、フルボイス対応！","인터랙티브 애니메이션 스토리! 교활한 지주들로부터 사랑받는 스시 바를 지켜내고, 수많은 미니게임에 빠져들며, 잊지 못할 친구들을 만나는 초대형 내러티브 어드벤처. Moa(하토풀 보이프렌드) 각본, 풀 보이스 수록!","一段互动式动画剧情！从奸商手里守护备受喜爱的小镇寿司店，在无数小游戏中流连忘返，并在这场“超大号”的叙事冒险里结识一生难忘的朋友。由 Moa（Hatoful Boyfriend）执笔，全程配音！","一段互動式動畫故事！從奸商手中守護小鎮最受喜愛的壽司店，在無數迷你遊戲中流連忘返，並在這場「超規格」的敘事冒險裡結識一生難忘的朋友。由 Moa（Hatoful Boyfriend）執筆，完整配音！"
"home.highlights.item1","Bullet | Homepage highlights list","An interactive anime story!","Eine interaktive Anime-Geschichte!","¡Una historia de anime interactiva!","Une histoire d’anime interactive !","Una storia anime interattiva!","História de anime interativa!","インタラクティブなアニメ物語！","인터랙티브 애니메이션 스토리!","互动式动画剧情！","互動式動畫故事！"
"home.highlights.item2","Bullet | Homepage highlights list","Pop out manga panels bring the tale to life!","Herausplatzende Manga-Panels erwecken die Story zum Leben!","¡Paneles de manga emergentes que dan vida al relato!","Des planches de manga jaillissent pour donner vie au récit !","Pannelli manga che saltano fuori e danno vita al racconto!","Painéis de mangá saltam da tela e dão vida à trama!","飛び出すマンガパネルで物語が動き出す！","튀어나오는 만화 패널로 이야기가 살아납니다!","弹出的漫画面板让故事跃然纸上！","彈出的漫畫分鏡讓故事躍然眼前！"
"home.highlights.item3","Bullet | Homepage highlights list","Colorful cast of small town characters!","Bunter Cast aus Kleinstadt-Charakteren!","¡Reparto colorido de personajes de pueblo!","Galerie de personnages hauts en couleur !","Cast variopinto di personaggi di provincia!","Elenco coloridíssimo de personagens de cidade pequena!","小さな町の多彩なキャスト！","개성만점 소도시 캐릭터들!","小镇群像，角色鲜活！","小鎮群像，角色鮮活！"
"home.highlights.item4","Bullet | Homepage highlights list","Wholesome and over-the-top!","Herzlich und überdreht!","¡Tierno y desenfrenado!","Chaleureux et déjanté !","Dolce e sopra le righe!","Aconchegante e exagerado!","ほのぼのでド派手！","잔잔함과 오버액션의 절묘한 조화!","治愈又夸张！","療癒又浮誇！"
"home.highlights.item5","Bullet | Homepage highlights list","8+ hours of story quests!","8+ Stunden Story-Quests!","¡Más de 8 horas de misiones de historia!","Plus de 8 h de quêtes de l’histoire !","Oltre 8 ore di missioni della storia!","Mais de 8h de missões de história!","8時間以上のストーリークエスト！","8시간 이상 스토리 퀘스트!","8+小时主线任务！","8+ 小時主線任務！"
"home.highlights.item6","Bullet | Homepage highlights list","4+ hours of mini-games - fishing, archery, ghost hunting and more!","4+ Stunden Minispiele – Angeln, Bogenschießen, Geisterjagd und mehr!","¡Más de 4 horas de minijuegos: pesca, tiro con arco, caza de fantasmas y más!","Plus de 4 h de mini-jeux – pêche, tir à l’arc, chasse aux fantômes et plus encore !","Oltre 4 ore di minigiochi – pesca, tiro con l’arco, caccia ai fantasmi e altro!","Mais de 4h de minigames — pesca, arco e flecha, caça a fantasmas e muito mais!","4時間以上のミニゲーム——釣り、アーチェリー、ゴーストハントなど！","4시간 이상 미니게임 – 낚시, 양궁, 유령 사냥 등!","4+小时小游戏——钓鱼、射箭、捉鬼等！","4+ 小時迷你遊戲——釣魚、射箭、捉鬼等！"
"home.highlights.item7","Bullet | Homepage highlights list","Fully playable in VR and non-VR modes!","Spielbar in Flatscreen und VR!","¡Disponible en pantalla plana y VR!","Disponible en écran plat et en VR !","Disponibile in flat-screen e VR!","Disponível em tela comum e VR!","フラットスクリーンとVRの両対応！","플랫스크린과 VR 모두 지원!","支持平面屏幕与VR玩法！","同時支援平面螢幕與VR！"
"home.highlights.item8","Bullet | Homepage highlights list","Full voice acting from a stacked 20+ cast!","Vollständige Sprachausgabe mit 20+ Sprecher*innen!","Doblaje completo con más de 20 actores.","Doublage intégral par plus de 20 comédien·ne·s !","Doppiaggio completo con più di 20 interpreti!","Dublagem completa com mais de 20 vozes!","20名以上によるフルボイス！","20명 이상이 참여한 풀 보이스!","20+位演员全程配音！","20+ 位演員全程配音！"
"home.highlights.item9","Bullet | Homepage highlights list","Narrative by the creator of Hatoful Boyfriend!","Story vom/der Schöpfer*in von Hatoful Boyfriend!","Guion de la creadora de Hatoful Boyfriend.","Scénario par la créatrice de Hatoful Boyfriend !","Storia dalla creatrice di Hatoful Boyfriend!","Roteiro da criadora de Hatoful Boyfriend!","Hatoful Boyfriendの作者による物語！","Hatoful Boyfriend 작가가 집필한 서사!","出自Hatoful Boyfriend作者之手的剧情！","出自Hatoful Boyfriend作者之手的劇情！"
"home.kicker","Eyebrow text | Homepage hero","Cozy Narrative Adventure","","","","","","","","",""
"home.media.title","Heading | Homepage media section","Watch the Trailer","Trailer ansehen","Ver tráiler","Voir la bande-annonce","Guarda il trailer","Assistir trailer","トレーラーを見る","트레일러 보기","观看预告片","觀看預告片"
"home.reviews.title","Heading | Homepage reviews section","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}","Critics Are Loving {Sushi Ben}"
"home.reviews.summary_label","Label text | Shared review quote summary prefix","Localized summary:","","","","","","","","","",""
"home.reviews.summary1","Summary text | Shared review quote summary","One of the most visually distinctive VR adventures in recent memory.","","","","","","","","",""
"home.reviews.summary2","Summary text | Shared review quote summary","Unbelievably vibrant and charming, with a creative cast of characters and lovely vibes.","","","","","","","","",""
"home.reviews.summary3","Summary text | Shared review quote summary","Quirky, whimsical, and incredibly vibrant, with colorful, unforgettable characters.","","","","","","","","",""
"home.reviews.summary4","Summary text | Shared review quote summary","{Sushi Ben} is my favorite VR experience. It's charming and in a class of its own.","","","","","","","","",""
"home.soundtrack.title","Heading | Homepage soundtrack section","Listen to the Soundtrack","Soundtrack anhören","Escuchar banda sonora","Écouter la bande originale","Ascolta la colonna sonora","Ouvir trilha sonora","サウンドトラックを聴く","사운드트랙 듣기","聆听原声带","聆聽原聲帶"
"home.soundtrack.cta","Text | Shared site copy","Listen on Spotify","","","","","","","","",""
"home.support.discord.title","Heading | Homepage Discord support card","Need help fast? Join our Discord","","","","","","","","",""
"home.support.discord.body","Body text | Homepage Discord support card","Get the quickest answers from the community and team. Share screenshots, bug reports, and updates in real time.","","","","","","","","",""
"home.support.discord.cta","Button label | Homepage Discord support card","Join Discord","Discord beitreten","Unirse a Discord","Rejoindre Discord","Unisciti a Discord","Entrar no Discord","Discordに参加","디스코드 참여","加入 Discord","加入 Discord"
"home.support.email.title","Heading | Homepage email support card","Prefer email? Send us a message","","","","","","","","",""
"home.support.email.body","Body text | Homepage email support card","Use the form and we will route your message to the right team member as quickly as possible.","","","","","","","","",""
"image.hero.minami.alt","Alt text | Homepage hero artwork","Minami from {Sushi Ben}","","","","","","","","",""
"image.logo.horizontal.alt","Alt text | Horizontal Sushi Ben logo image","{Sushi Ben} horizontal logo","","","","","","","","",""
"image.logo.horizontal.open","Aria label | Open horizontal Sushi Ben logo","Open logo horizontal","","","","","","","","",""
"image.logo.primary.alt","Alt text | Primary Sushi Ben logo image","{Sushi Ben} primary logo","","","","","","","","",""
"image.logo.primary.open","Aria label | Open primary Sushi Ben logo","Open logo primary","","","","","","","","",""
"image.logo.vertical.alt","Alt text | Vertical Sushi Ben logo image","{Sushi Ben} vertical logo","","","","","","","","",""
"image.logo.vertical.open","Aria label | Open vertical Sushi Ben logo","Open logo vertical","","","","","","","","",""
"image.screenshot.1.alt","Alt text | Screenshot image","{Sushi Ben} screenshot 1","","","","","","","","",""
"image.screenshot.1.open","Aria label | Open screenshot button","Open screenshot 1","","","","","","","","",""
"image.screenshot.2.alt","Alt text | Screenshot image","{Sushi Ben} screenshot 2","","","","","","","","",""
"image.screenshot.2.open","Aria label | Open screenshot button","Open screenshot 2","","","","","","","","",""
"image.screenshot.3.alt","Alt text | Screenshot image","{Sushi Ben} screenshot 3","","","","","","","","",""
"image.screenshot.3.open","Aria label | Open screenshot button","Open screenshot 3","","","","","","","","",""
"image.screenshot.4.alt","Alt text | Screenshot image","{Sushi Ben} screenshot 4","","","","","","","","",""
"image.screenshot.4.open","Aria label | Open screenshot button","Open screenshot 4","","","","","","","","",""
"image.screenshot.5.alt","Alt text | Screenshot image","{Sushi Ben} screenshot 5","","","","","","","","",""
"image.screenshot.5.open","Aria label | Open screenshot button","Open screenshot 5","","","","","","","","",""
"image.share_card.alt","Alt text | Social share image","{Sushi Ben} promotional artwork","","","","","","","","",""
"image.store.meta.alt","Alt text | Store logo image","{Meta Quest} logo","","","","","","","","",""
"image.store.pico.alt","Alt text | Store logo image","{PICO} logo","","","","","","","","",""
"image.store.playstation.alt","Alt text | Store logo image","{PlayStation} logo","","","","","","","","",""
"image.store.steam.alt","Alt text | Store logo image","{Steam} logo","","","","","","","","",""
"image.store.stove.alt","Alt text | Store logo image","{STOVE} logo","","","","","","","","",""
"image.store.viveport.alt","Alt text | Store logo image","{HTC VIVEPORT} logo","","","","","","","","",""
"lang.aria_label","Aria label | Language switcher","Language","","","","","","","","",""
"lang.summary","Accessibility text | Language switcher","Language: {language}","","","","","","","","",""
"legal.back_home","Button label | Back to home button on legal and secondary pages","Back to Home","","","","","","","","",""
"nav.about","Link label | Header navigation","About","","","","","","","","",""
"nav.buy","Link label | Header navigation","Play","","","","","","","","",""
"nav.cast","Link label | Header navigation","Cast","","","","","","","","",""
"nav.contact","Link label | Header navigation","Contact","","","","","","","","",""
"nav.features","Link label | Header navigation","Features","","","","","","","","",""
"nav.media","Link label | Header navigation","Media","","","","","","","","",""
"nav.menu","Link label | Header navigation","Menu","","","","","","","","",""
"nav.press_kit","Link label | Header navigation","Press Kit","","","","","","","","",""
"nav.team","Link label | Header navigation","Team","","","","","","","","",""
"site.description","Meta description | Shared metadata","Save a beloved local sushi bar from dastardly landsharks in this cozy narrative adventure full of unforgettable friends.","","","","","","","","",""
"site.title","Site title | Shared metadata","{Sushi Ben} | A Cozy, Anime-Inspired Adventure","","","","","","","","",""
